diagnostic_score,quiz_average,overall_mastery,total_study_hours,total_attempts,study_streak,final_exam_score
79.0,76.6,70.8,5.79,12,3,68.9
79.3,68.8,60.4,11.54,14,5,60.8
60.3,61.8,54.8,50.35,13,5,58.0
58.1,62.3,50.4,21.11,11,3,48.9
86.1,80.2,74.2,12.62,18,8,77.6
66.1,75.4,74.3,56.49,10,14,69.8
71.0,67.1,61.2,2.99,18,1,50.8
58.1,52.5,66.2,6.72,19,17,58.3
62.9,41.2,48.2,18.69,21,5,44.8
61.0,70.3,63.1,21.12,15,8,59.0
54.2,46.9,51.6,2.81,13,12,44.0
51.5,60.9,51.0,12.32,15,4,55.7
64.4,61.2,55.5,22.95,13,12,57.2
71.0,73.8,68.5,25.95,21,2,66.3
73.0,70.5,65.8,22.33,9,2,62.9
72.6,72.6,65.0,9.73,12,7,62.9
68.1,43.7,52.1,3.96,13,13,52.9
69.6,57.4,65.2,13.14,15,14,57.7
56.0,59.3,57.2,4.76,9,7,46.3
57.7,63.5,49.7,60.99,10,5,59.6
74.9,66.9,61.7,14.89,11,3,61.1
69.9,68.5,72.9,9.63,8,25,66.9
58.9,56.4,54.8,31.07,9,3,54.3
90.4,59.3,67.7,15.78,18,9,62.0
92.5,72.4,74.8,9.42,13,5,68.9
65.0,68.7,56.6,35.42,14,6,58.7
94.2,89.0,76.2,42.37,8,4,76.3
43.8,55.9,61.5,24.36,12,21,58.9
52.2,37.0,36.5,2.96,16,6,30.8
43.7,46.1,43.3,18.71,8,18,51.9
71.0,75.5,65.8,30.82,17,1,67.4
64.9,58.8,52.9,4.94,14,6,44.9
62.0,54.7,60.3,7.19,13,8,52.0
66.5,70.1,65.3,44.83,9,9,64.2
39.6,52.1,50.8,2.41,16,15,46.4
98.1,88.3,76.6,29.95,18,1,73.6
68.8,67.0,64.3,14.84,18,1,59.0
65.0,65.1,59.2,13.84,14,4,55.7
69.1,63.7,54.5,2.14,13,1,50.1
80.1,73.0,74.4,36.23,13,23,70.0
81.4,50.0,51.3,10.92,9,2,54.0
50.1,54.3,43.6,17.56,9,4,38.7
66.7,64.3,60.0,24.62,24,1,58.9
95.3,87.3,72.0,26.26,10,5,77.5
81.0,79.4,69.1,64.46,14,3,72.1
86.2,77.4,71.0,17.16,10,1,68.2
63.8,48.9,48.5,12.21,15,3,50.6
35.9,61.9,45.6,63.45,12,4,48.2
73.8,64.2,74.6,22.55,9,29,66.7
66.4,63.7,52.5,9.08,14,2,50.7
77.0,64.5,60.8,4.7,11,5,61.9
40.6,43.4,53.8,38.97,8,27,54.9
86.1,76.1,75.0,10.99,9,10,65.1
48.9,58.5,59.6,23.6,14,31,60.9
71.0,60.5,72.0,14.73,18,22,66.9
51.2,38.0,38.9,6.44,11,5,42.5
45.4,44.0,45.5,20.41,12,8,43.9
84.1,74.5,72.5,3.25,15,1,65.5
57.9,63.6,59.5,12.67,10,4,58.3
50.7,50.4,54.0,17.82,12,11,51.3
44.7,59.3,50.5,13.46,17,5,55.4
67.1,48.5,53.8,29.62,10,8,55.4
71.3,77.1,70.4,37.2,13,9,69.3
60.6,58.9,46.8,31.5,9,2,46.4
39.1,46.1,46.5,2.79,12,13,39.2
65.0,61.5,56.6,6.32,16,4,48.1
64.9,55.5,53.0,17.38,14,2,50.2
24.3,47.3,41.7,56.61,16,13,46.8
58.5,62.7,51.6,38.03,15,4,54.2
60.9,68.4,64.3,38.97,11,9,65.8
67.6,61.9,51.8,9.23,13,5,53.6
97.6,78.3,79.0,13.22,10,3,71.8
77.8,70.8,67.6,14.72,16,11,65.0
38.0,61.4,50.9,5.42,14,6,48.0
46.5,42.6,41.8,2.63,10,4,38.5
86.7,86.7,76.7,60.71,10,1,78.7
52.8,62.9,53.7,7.51,14,14,49.5
55.3,62.4,55.2,7.49,13,1,49.2
65.5,61.4,62.2,3.74,11,13,64.5
78.4,66.6,58.8,54.76,4,3,67.9
65.5,59.6,53.3,19.34,16,7,48.4
52.1,56.5,55.2,23.99,16,16,44.8
61.0,60.5,47.5,50.51,12,2,53.9
60.9,61.9,62.8,10.48,15,6,58.9
51.8,55.8,57.8,21.43,8,9,50.4
45.8,49.5,48.3,2.79,11,9,47.0
52.5,52.8,46.9,6.13,15,5,44.9
58.3,65.9,57.5,37.59,14,7,57.3
87.3,79.9,78.2,31.11,13,9,77.4
29.2,42.0,46.7,10.64,18,12,37.2
77.0,71.4,65.2,11.46,12,9,62.1
74.9,66.0,55.6,17.25,14,3,59.4
40.8,34.6,52.2,2.0,18,36,43.7
49.7,56.4,41.5,7.52,21,4,49.9
66.0,59.5,48.8,6.67,14,1,51.7
37.3,35.2,31.2,7.77,11,3,32.8
48.1,57.4,40.8,34.79,14,1,45.6
37.7,50.6,44.8,8.56,8,1,43.3
85.5,73.7,70.8,6.25,18,3,64.6
85.9,71.2,62.5,16.03,11,1,63.7
86.9,74.4,76.3,42.15,12,8,70.3
82.9,63.2,65.0,7.52,14,1,63.3
53.4,44.8,41.0,3.64,16,2,40.5
48.8,50.9,41.6,10.81,8,1,48.3
69.2,70.9,69.5,29.54,7,1,72.2
41.6,47.4,42.9,18.0,17,2,43.2
85.6,68.1,66.9,35.94,19,6,66.9
52.1,73.5,75.2,66.17,14,21,68.4
66.9,65.2,64.9,33.47,11,13,65.8
82.1,60.5,62.6,20.52,13,13,62.3
85.9,62.5,60.5,15.6,13,2,61.3
56.7,54.9,52.5,2.82,16,2,53.4
86.9,81.2,63.1,85.11,16,1,69.3
68.1,42.8,47.5,11.67,12,10,43.1
68.7,71.0,65.9,5.3,17,1,58.7
61.0,73.3,60.8,23.97,13,6,62.9
45.6,58.0,53.6,8.69,7,2,49.3
75.3,71.8,68.8,19.63,9,2,60.8
32.4,52.5,54.4,19.67,12,29,52.5
75.0,72.8,65.6,13.8,13,9,59.3
65.9,70.1,64.6,38.17,9,12,61.2
59.2,60.0,65.1,8.16,12,6,55.0
83.1,68.5,77.2,13.91,19,13,66.9
56.9,57.5,53.4,17.43,8,7,54.2
55.5,45.8,49.7,23.79,11,18,49.7
35.6,52.3,42.5,32.65,17,3,48.9
68.1,68.8,62.9,12.04,10,6,58.4
40.9,43.9,36.4,22.77,14,8,38.1
96.2,74.5,71.5,5.26,10,4,72.4
43.1,47.0,52.6,55.96,12,14,50.8
92.4,75.9,76.4,11.66,16,25,79.6
77.4,66.9,65.8,28.15,10,5,65.2
54.2,60.1,57.5,2.41,17,4,42.4
70.7,53.5,49.9,6.59,12,4,53.4
82.8,66.7,74.7,15.35,12,12,70.5
70.4,71.8,62.1,44.12,12,7,67.7
94.7,75.4,71.3,16.98,13,1,62.3
53.3,69.1,56.6,55.15,18,5,57.0
62.9,58.7,50.3,15.23,14,1,48.0
54.0,62.0,54.3,15.48,15,10,49.7
70.0,60.1,58.1,4.55,19,3,59.9
60.9,73.4,65.1,34.46,10,4,62.5
47.1,43.9,43.9,7.67,18,10,40.9
57.1,42.6,35.0,47.97,9,1,44.2
81.0,64.1,61.5,50.34,10,2,65.6
69.7,71.6,64.5,59.4,12,4,54.7
54.5,57.3,48.4,16.69,12,2,45.5
58.5,66.3,63.7,24.61,16,3,53.2
79.9,68.7,69.9,32.15,15,39,72.8
63.7,53.3,45.6,4.81,21,11,46.3
53.8,55.0,51.9,20.37,15,14,51.0
64.4,53.4,61.8,2.7,9,18,47.4
35.1,52.5,37.8,15.77,14,3,37.8
62.1,60.0,49.4,5.36,15,3,53.0
56.5,40.6,43.5,6.04,14,2,44.9
69.2,70.7,68.2,11.08,24,11,65.4
73.1,64.5,63.3,13.33,11,8,54.9
76.6,70.5,65.8,21.52,15,2,67.3
68.7,66.4,57.1,3.55,13,3,57.5
89.8,83.8,74.2,16.01,15,5,71.9
86.7,76.4,73.7,6.03,12,5,61.1
39.3,48.0,41.6,19.07,9,14,45.4
70.0,52.9,42.5,22.29,11,3,45.7
42.9,58.4,53.1,18.27,16,15,51.5
73.8,68.2,65.5,28.81,11,4,63.0
70.9,66.6,64.1,10.18,16,9,65.3
61.0,61.4,65.7,30.97,10,17,60.7
71.1,65.5,58.0,13.34,9,15,58.7
48.6,52.0,45.2,15.24,10,1,49.1
58.3,61.5,55.3,22.89,12,2,50.8
30.4,42.8,30.3,2.37,12,4,33.7
56.9,53.5,52.2,23.23,12,4,48.9
48.5,47.5,44.4,21.28,14,7,40.1
56.4,50.7,67.6,9.42,9,18,55.5
88.2,72.1,57.2,3.79,9,1,62.3
54.6,52.4,53.0,3.91,11,4,51.6
96.2,89.2,77.2,53.34,15,2,85.3
64.9,71.9,61.3,25.38,16,14,61.1
61.9,66.5,65.9,4.72,14,21,57.0
62.5,51.6,50.7,10.82,13,5,47.1
86.3,64.0,64.7,19.95,13,1,57.8
55.0,65.6,66.0,38.11,12,10,60.3
67.1,54.8,60.1,2.89,10,8,52.0
87.8,76.7,65.9,7.4,11,3,67.8
73.0,56.1,64.9,46.1,16,14,55.0
86.4,71.4,79.8,2.18,21,23,69.1
70.7,44.5,45.3,6.5,15,6,42.6
57.5,62.1,54.4,65.9,10,6,62.8
86.8,83.5,70.8,21.01,15,3,66.7
58.1,57.8,52.9,8.07,16,6,50.7
95.5,72.4,66.8,3.39,17,4,65.0
73.2,62.0,53.2,2.57,9,3,56.5
50.1,49.6,44.8,7.61,12,1,44.1
80.9,69.4,65.6,44.65,16,2,66.5
84.4,71.7,64.6,12.75,11,2,61.2
66.4,67.0,65.3,27.48,11,5,54.6
53.9,49.9,45.9,52.09,16,6,50.3
64.2,46.9,46.6,12.49,14,6,47.8
62.6,62.6,58.3,6.25,15,4,48.1
64.6,64.7,56.8,16.56,18,4,51.0
78.1,75.3,72.2,49.74,10,12,73.1
60.6,72.8,51.1,34.63,13,4,58.2
46.5,41.2,51.4,3.36,21,28,42.2
53.1,65.8,47.9,25.59,15,4,49.3
80.6,59.7,55.3,18.97,17,7,50.5
60.3,86.4,62.2,49.6,10,1,71.4
92.2,67.6,63.6,4.61,11,7,58.3
74.0,76.0,69.1,17.27,15,12,68.5
69.7,64.4,64.9,44.32,17,18,65.0
59.0,66.3,72.2,12.55,18,37,69.9
39.4,55.9,46.1,15.16,20,3,40.9
82.4,61.2,53.3,3.46,13,6,55.2
48.0,57.1,49.0,8.52,14,4,40.2
79.0,62.0,61.8,9.85,11,6,51.8
49.8,43.2,38.2,60.05,15,2,46.1
40.2,49.9,46.9,8.64,17,12,37.0
71.1,77.2,73.9,14.36,21,15,67.7
77.9,61.7,62.0,24.25,8,4,63.2
67.0,63.9,50.6,5.54,13,3,54.3
56.2,65.0,52.6,15.33,14,1,49.3
74.5,68.2,70.4,28.83,19,8,59.9
80.8,66.0,67.3,42.33,12,3,67.3
50.3,58.2,59.9,21.68,12,15,59.3
68.1,76.3,69.2,24.12,12,7,63.3
50.3,47.0,51.6,4.7,13,7,41.8
67.7,60.1,64.3,60.29,6,6,61.1
69.2,65.6,56.7,4.84,17,1,56.4
72.4,72.6,68.0,31.8,17,17,71.8
61.2,53.2,50.3,8.15,17,7,44.0
96.7,79.8,99.4,56.24,14,32,86.4
52.5,53.3,41.8,27.46,6,5,53.7
52.9,57.4,50.6,30.03,8,8,50.4
62.4,54.7,43.4,6.95,13,1,46.0
100.0,74.8,74.6,13.71,16,7,69.2
59.6,65.6,54.9,21.24,14,9,57.2
76.6,70.6,67.1,31.39,13,10,69.4
47.5,37.6,32.6,4.2,17,10,35.6
68.3,68.7,62.0,67.6,10,2,70.9
69.6,83.5,86.2,46.19,17,23,78.9
75.1,60.0,68.3,8.3,8,33,63.5
98.5,73.7,68.9,36.61,14,1,71.4
59.3,61.2,61.1,16.61,15,17,58.9
77.5,74.3,66.5,14.39,11,3,64.6
82.6,91.2,80.0,9.55,16,8,70.7
62.0,59.7,56.2,19.4,17,3,54.4
67.6,63.7,73.2,28.18,17,22,65.1
89.1,71.1,62.3,12.58,10,1,60.7
87.1,80.9,72.1,21.84,12,5,70.9
53.0,60.7,55.6,26.03,18,4,49.4
50.4,59.5,44.4,26.84,14,3,43.6
67.7,51.4,44.1,3.07,11,7,36.8
53.5,48.5,43.9,41.29,11,1,52.1
39.8,53.2,48.7,14.26,9,8,46.7
63.7,52.5,59.5,8.09,10,25,54.9
58.8,51.3,49.8,7.54,12,11,45.4
75.7,63.1,61.6,15.19,14,13,50.0
57.5,67.3,53.1,45.58,11,3,54.2
75.8,76.6,69.5,11.51,13,3,67.5
49.8,54.1,43.2,29.7,18,5,49.4
82.8,66.7,60.2,4.04,9,1,60.7
76.4,73.5,70.4,14.93,15,18,68.1
70.0,69.1,53.7,97.8,12,1,66.5
72.5,73.5,74.7,31.43,10,15,68.8
41.1,50.9,39.3,6.73,16,1,42.4
80.2,64.2,65.9,15.92,12,11,61.3
59.6,67.9,50.8,7.32,15,2,48.6
84.9,65.4,58.1,12.54,18,1,55.1
66.8,72.1,67.8,32.29,11,8,61.0
100.0,81.0,85.8,31.5,4,3,81.5
61.5,48.7,41.5,7.18,15,8,41.2
56.5,63.3,54.3,53.08,17,5,53.4
52.1,51.9,46.4,19.96,18,1,47.7
54.5,59.1,56.8,11.56,19,17,54.7
59.5,49.2,50.2,15.94,10,4,50.5
82.3,72.9,66.2,20.58,13,9,67.7
80.1,69.4,65.3,18.41,14,5,60.5
55.7,70.6,57.8,15.33,14,6,56.3
54.0,45.9,47.7,16.06,15,3,44.5
54.6,63.5,50.2,5.88,13,2,45.8
60.9,66.2,56.6,35.5,22,5,53.6
66.0,74.0,67.1,17.61,15,4,60.1
58.6,65.3,52.1,4.81,18,4,58.4
30.3,47.8,40.7,31.06,13,7,38.8
72.3,87.3,68.0,55.9,9,8,77.5
79.3,89.3,69.7,60.87,17,1,73.4
50.7,55.3,49.2,11.21,10,3,49.4
75.2,55.5,50.6,4.91,12,4,53.9
64.8,63.6,52.8,16.61,14,1,56.3
71.1,57.6,55.5,4.39,19,2,53.4
77.4,79.1,65.1,56.36,14,1,74.2
94.2,86.1,93.5,6.06,19,35,86.4
61.9,53.4,53.8,7.83,12,9,56.1
44.3,52.4,44.9,12.44,12,1,36.7
57.3,45.9,47.4,11.66,9,1,44.9
69.2,57.7,58.0,33.66,16,8,58.3
51.1,59.5,57.0,14.19,5,4,47.9
81.9,81.1,78.8,5.75,13,10,73.5
55.5,50.9,51.9,8.22,12,16,43.6
60.4,59.6,59.7,16.23,11,6,52.2
68.8,64.3,58.0,5.19,12,2,47.7
75.8,72.1,66.6,20.92,12,10,70.3
100.0,77.5,84.6,18.68,15,20,78.5
67.1,56.9,59.0,27.08,18,6,63.5
59.8,59.7,57.4,57.52,12,8,61.7
87.8,83.9,81.4,50.67,13,3,80.1
83.4,78.3,74.0,60.4,16,3,72.3
86.3,84.0,79.5,7.61,16,9,69.8
66.6,68.6,63.9,4.82,16,17,62.3
60.6,61.1,55.3,9.2,11,7,52.3
80.2,68.2,67.2,47.09,14,10,63.2
81.6,78.0,71.2,73.55,19,2,68.2
63.9,68.8,61.0,41.23,16,2,57.3
65.7,62.4,57.5,4.33,16,5,60.2
79.3,80.2,69.7,60.91,12,2,80.2
80.8,74.1,71.7,13.01,17,7,67.6
100.0,76.1,69.0,2.19,12,3,68.4
63.0,62.6,66.1,13.68,16,10,57.5
66.7,57.4,49.5,2.94,11,11,47.1
79.0,57.7,62.6,17.7,14,4,63.0
100.0,72.5,69.5,10.27,11,2,74.3
50.3,56.9,54.9,14.83,10,7,46.9
74.1,65.5,74.3,21.0,13,31,69.0
64.1,64.0,59.4,42.62,12,6,57.9
67.0,59.4,55.2,23.69,17,1,52.4
82.1,66.7,64.4,13.38,20,1,65.2
71.2,69.7,60.1,36.23,15,3,56.9
45.4,74.4,61.3,49.2,10,2,61.7
51.4,39.4,38.8,4.55,11,11,40.9
76.5,73.9,70.7,17.18,6,12,66.5
72.3,66.6,62.6,8.7,13,2,61.3
100.0,72.3,74.1,2.96,20,3,69.3
55.3,55.7,50.3,24.09,20,2,53.3
64.8,67.6,64.2,41.72,14,15,58.7
84.4,59.6,63.4,5.56,16,5,57.5
80.4,73.2,65.5,35.47,11,7,66.6
59.3,55.9,57.8,40.4,14,4,45.6
67.7,63.8,59.1,51.15,10,7,57.4
80.2,65.7,55.1,8.17,8,3,53.8
69.3,68.2,55.3,48.86,17,3,63.7
48.4,52.9,48.2,9.73,10,7,42.9
63.5,65.5,59.3,18.07,14,6,54.0
75.2,73.2,72.4,3.04,16,3,66.8
50.0,47.9,37.7,2.9,9,1,32.6
70.3,64.9,58.4,27.49,15,3,50.9
58.5,59.9,48.8,13.76,17,4,48.1
67.5,66.5,59.0,7.92,12,7,51.7
52.2,42.8,55.1,6.22,12,16,41.8
59.2,55.2,44.0,24.17,6,1,49.0
81.4,53.3,55.9,2.01,12,2,55.5
90.5,77.3,71.7,34.79,10,2,74.0
72.9,46.9,49.3,3.65,16,5,51.2
61.0,62.0,56.9,6.25,8,4,57.0
100.0,73.9,70.1,11.76,9,9,62.4
48.9,55.6,53.4,15.27,13,2,49.5
33.4,39.4,43.3,10.77,13,6,34.8
89.3,66.9,71.1,9.73,10,14,64.2
65.1,58.7,70.2,68.44,9,15,68.7
55.3,54.2,56.7,22.52,13,20,48.0
64.7,66.3,63.5,2.47,11,10,51.6
58.1,67.1,69.5,13.25,13,15,63.5
59.4,64.5,52.9,43.59,18,2,57.5
48.2,45.2,34.9,9.18,10,2,37.4
72.3,64.0,50.7,3.99,14,1,49.1
75.2,62.9,69.6,30.41,15,8,66.5
76.3,65.4,67.0,20.63,19,18,66.9
96.4,85.2,75.7,18.89,9,2,74.6
40.9,54.8,42.9,3.1,14,7,37.6
42.8,43.9,46.2,5.03,8,9,39.1
48.9,52.0,50.5,21.49,11,17,52.2
61.3,49.7,47.4,6.66,10,7,50.6
65.1,70.9,73.2,16.03,22,22,65.5
57.8,51.8,43.1,17.74,18,3,44.1
59.9,62.8,53.7,8.67,20,3,51.1
46.5,53.0,52.0,61.29,12,5,53.2
80.7,79.0,71.1,38.96,14,3,68.4
40.4,63.2,49.2,27.63,13,1,38.3
97.1,67.0,70.7,3.62,5,9,70.7
78.5,49.0,52.9,4.24,12,9,57.3
68.4,66.8,70.6,15.58,15,9,60.5
73.1,52.9,48.6,5.5,12,3,45.0
61.9,75.5,64.6,78.58,13,5,66.7
87.6,63.3,62.1,5.45,21,3,58.9
98.8,64.5,68.0,15.37,15,1,68.5
69.0,57.6,59.8,11.05,8,6,55.0
83.1,68.2,62.2,22.4,20,1,59.2
65.1,63.5,56.1,4.76,14,1,48.2
74.5,76.7,71.3,13.25,14,9,69.7
52.2,54.4,37.2,8.42,10,1,43.2
91.3,90.1,82.5,45.74,20,20,87.6
60.8,55.7,49.2,2.83,12,5,44.2
43.2,56.3,57.3,51.0,17,26,63.7
66.1,70.2,54.4,37.79,17,1,52.3
54.8,46.2,48.0,9.06,9,6,46.6
77.2,79.7,68.9,33.15,11,3,61.8
47.4,43.7,44.4,2.63,17,12,38.2
53.0,67.1,50.3,70.14,12,3,62.8
28.3,35.9,29.6,16.96,12,2,32.4
66.5,59.8,49.2,9.23,20,12,50.0
20.0,46.2,33.8,11.01,12,3,30.4
52.1,40.1,37.9,3.37,10,1,36.7
86.7,74.6,69.8,92.84,16,4,75.1
73.6,68.0,57.1,2.8,16,7,61.3
50.1,66.3,54.4,23.28,16,2,51.1
48.6,61.6,47.3,13.69,16,4,41.9
63.8,66.5,53.2,61.49,10,1,59.7
56.9,58.9,56.0,7.65,19,6,49.6
44.7,48.7,53.8,17.19,16,9,42.2
98.3,72.8,70.9,15.17,19,4,70.0
82.6,69.6,61.5,26.27,16,4,62.3
54.5,52.8,46.6,3.41,10,1,45.0
52.6,56.7,52.1,6.31,12,2,44.3
65.3,58.2,54.9,6.83,14,2,53.0
34.7,54.1,55.1,28.8,11,5,43.2
65.5,51.8,47.6,6.19,15,5,44.1
51.2,57.1,59.5,19.04,16,19,53.8
55.1,52.9,52.3,6.85,16,1,52.8
76.5,65.2,67.8,41.56,11,6,67.9
96.7,82.9,69.1,59.01,9,5,80.3
73.6,68.0,62.2,16.62,18,5,65.1
55.5,58.0,62.4,10.69,17,13,67.3
70.2,65.6,69.7,7.33,9,2,60.2
94.0,69.4,68.6,3.02,13,1,69.3
72.9,60.0,57.0,8.25,8,7,58.6
66.2,60.1,50.4,23.24,7,3,55.9
56.4,50.0,53.6,17.25,12,1,54.0
70.8,70.9,64.3,59.66,19,2,64.5
59.5,65.6,52.7,12.09,16,3,50.7
80.1,74.5,67.5,25.67,15,6,67.7
73.4,78.0,67.6,15.44,20,2,63.9
83.7,70.3,67.7,16.37,17,4,65.7
53.2,57.4,47.2,8.23,8,5,52.1
93.2,75.2,68.4,14.14,9,4,66.1
60.8,70.8,64.8,14.73,17,23,61.7
100.0,86.5,81.7,26.53,11,1,79.0
41.4,54.0,52.8,58.48,10,19,53.3
92.8,68.9,70.0,9.99,13,6,59.5
71.6,61.1,66.2,2.86,18,10,56.5
49.5,52.1,46.9,15.72,9,4,47.4
61.6,52.5,48.9,17.73,12,4,53.3
70.8,50.0,56.9,5.69,18,14,48.5
53.2,68.5,63.1,30.58,10,14,56.2
76.3,80.6,73.6,85.9,14,2,74.3
37.0,59.2,47.2,60.29,15,2,42.7
56.9,61.2,51.8,6.39,10,5,48.4
100.0,84.1,88.7,43.65,6,15,78.8
84.5,74.5,72.6,26.38,15,3,73.6
61.7,69.7,56.1,14.1,14,7,53.6
63.9,56.8,61.0,17.56,11,8,61.1
83.2,66.5,68.2,39.89,14,10,71.3
58.9,66.3,59.2,15.08,14,6,53.6
42.3,54.5,49.7,11.34,9,4,41.2
73.4,53.7,60.9,15.59,11,21,57.4
56.5,48.7,50.8,19.31,16,6,47.1
69.8,59.7,57.2,6.19,20,9,55.8
64.1,69.3,53.5,48.23,12,3,56.3
75.0,40.5,43.3,24.43,13,7,48.9
99.8,87.2,80.8,22.06,6,2,78.8
53.3,48.2,39.6,4.1,11,2,38.8
38.0,45.0,47.7,20.54,15,8,39.9
67.8,54.7,57.5,4.58,13,5,51.3
78.4,66.0,69.3,3.64,18,8,59.3
91.2,81.9,73.7,16.99,11,2,71.6
70.2,47.8,50.9,12.31,17,6,49.2
87.1,73.1,63.2,19.77,16,4,65.6
55.8,65.9,61.1,3.87,12,6,60.8
73.6,54.4,54.3,13.28,15,3,51.9
79.9,67.3,67.4,5.84,10,8,65.8
79.6,85.4,84.5,89.01,14,11,82.9
54.7,50.4,42.7,18.47,14,2,42.9
76.8,80.0,68.5,25.26,23,3,67.0
84.0,77.3,72.9,9.87,18,7,68.2
52.0,49.4,43.7,3.99,12,8,43.7
58.0,78.5,65.6,76.49,18,8,65.0
74.7,63.1,63.3,8.74,14,8,53.8
88.7,54.7,56.1,13.03,17,4,58.3
42.6,56.5,52.2,22.99,17,4,51.1
55.3,44.9,35.9,2.5,12,2,40.3
69.8,62.2,60.4,35.24,9,2,59.3
82.4,72.7,71.6,17.38,14,8,70.1
71.7,71.1,58.9,8.52,12,1,60.3
49.4,57.8,54.1,3.27,18,18,53.2
77.7,68.2,58.6,5.55,17,11,56.3
23.9,40.0,34.0,47.08,8,12,33.2
63.6,68.9,70.4,25.17,10,15,63.2
50.2,30.3,32.9,7.75,7,4,32.2
67.6,54.7,61.6,3.36,16,12,53.7
49.7,55.5,44.4,25.46,8,2,39.3
48.7,50.1,45.7,18.99,18,1,49.6
89.8,70.0,67.6,12.37,14,10,65.2
60.2,58.4,46.8,11.04,12,1,48.3
77.1,62.8,71.5,6.89,16,28,70.1
62.0,71.4,59.8,24.15,13,7,51.3
82.2,77.6,66.3,72.58,11,9,71.1
68.6,64.4,56.3,5.86,13,2,52.8
48.6,53.4,48.8,20.18,10,7,45.8
68.8,64.5,61.6,13.04,12,1,56.3
60.4,59.8,61.9,13.84,12,12,61.2
36.6,46.0,42.8,7.86,11,2,40.3
53.9,64.4,59.8,36.87,18,8,61.0
79.5,78.6,69.6,15.28,11,2,66.7
68.4,73.8,57.1,17.68,19,1,53.5
77.1,70.3,65.1,9.27,13,5,54.4
70.8,53.4,53.3,6.01,6,2,44.7
75.9,58.0,65.0,3.8,8,9,59.1
84.3,82.2,74.4,27.04,16,2,71.8
70.9,66.4,64.3,6.37,11,3,57.7
60.7,72.1,57.9,25.43,11,6,57.4
73.9,73.1,62.8,11.9,14,3,68.1
61.0,72.0,61.9,12.75,13,3,55.3
71.3,54.6,61.8,14.67,12,11,59.7
59.1,55.9,48.9,11.17,10,2,47.7
72.5,57.8,53.1,4.12,11,1,51.0
69.3,64.0,60.2,9.41,11,3,60.3
93.6,70.0,63.3,23.8,7,4,70.6
53.9,71.1,65.5,23.92,18,5,58.9
85.3,63.8,57.9,8.74,12,3,60.9
73.0,55.3,49.8,14.33,14,10,53.5
58.3,61.9,52.3,6.3,16,1,49.9
45.1,39.5,44.1,6.72,14,4,39.0
80.5,68.5,65.4,2.47,15,3,58.3
68.0,68.5,65.3,47.41,11,7,63.5
72.4,67.0,71.0,6.73,11,21,62.7
24.2,34.6,29.2,7.16,13,5,30.7
100.0,79.8,81.7,8.56,9,27,78.5
63.1,55.3,41.7,4.73,13,3,40.4
86.8,74.0,67.5,22.39,20,1,63.8
44.1,44.8,44.4,3.56,11,2,27.8
67.3,68.2,61.5,4.88,11,4,55.5
58.9,53.2,51.0,22.7,10,3,49.3
45.5,66.5,58.2,10.3,18,1,51.2
88.5,82.2,75.1,26.62,8,4,80.0
62.6,56.7,51.0,18.3,8,3,52.4
68.9,74.4,59.2,7.91,9,1,60.2
75.7,73.6,73.0,23.04,12,3,61.0
75.1,68.5,70.4,4.47,17,14,62.6
72.6,67.1,56.4,17.38,15,3,55.6
76.0,67.5,59.6,13.49,10,8,56.9
87.1,82.2,79.7,8.24,7,6,69.9
61.9,56.2,47.4,20.53,10,4,42.9
77.4,69.2,69.4,43.01,13,2,62.1
86.9,72.1,55.7,100.0,14,3,70.0
69.5,71.7,69.7,20.72,8,6,63.6
84.4,69.5,66.6,12.37,15,3,61.6
58.1,67.1,56.5,7.1,11,2,53.2
49.4,50.0,42.3,7.94,12,1,45.2
100.0,80.4,89.2,15.06,14,14,80.4
41.4,51.4,46.4,11.15,15,4,44.4
62.6,65.5,55.5,51.03,11,7,56.4
60.6,52.8,42.9,11.19,17,5,43.1
51.8,64.3,60.0,11.35,10,13,56.3
64.5,69.5,60.9,11.68,13,5,64.5
74.3,62.8,53.2,38.23,16,5,62.9
65.8,59.5,61.5,23.04,12,16,60.8
85.7,76.0,69.5,21.05,19,8,69.1
77.3,70.5,62.3,10.13,15,1,65.0
65.0,68.6,61.5,36.06,14,2,63.1
80.6,61.4,69.0,2.78,12,10,53.2
78.9,77.9,77.3,42.93,10,12,70.6
50.8,58.6,48.0,16.38,10,5,49.0
72.4,67.9,63.3,12.16,8,5,53.6
78.5,76.6,70.0,15.75,17,7,63.7
56.9,65.1,50.3,24.02,11,4,50.0
82.8,65.5,66.4,2.26,15,8,60.6
55.0,63.7,60.0,43.04,18,1,56.1
66.5,62.8,67.0,13.84,12,21,60.7
56.1,60.1,49.1,10.4,17,9,52.5
56.3,63.1,56.3,4.98,13,7,51.4
51.7,52.2,41.2,13.58,10,3,41.4
46.5,32.1,35.5,15.72,8,2,29.0
93.6,69.4,69.5,12.34,9,4,69.9
49.7,44.6,42.7,24.71,15,7,40.4
54.4,51.6,47.5,12.93,9,7,42.3
39.3,46.4,38.6,67.1,10,3,44.9
59.6,58.1,53.4,20.29,14,6,49.3
39.9,47.4,41.9,34.95,16,11,41.6
89.2,78.3,64.3,4.32,19,1,65.6
82.1,74.4,72.1,12.13,12,4,65.5
55.4,48.2,46.6,10.22,17,9,53.1
78.3,75.4,68.5,18.86,9,5,65.6
80.0,74.7,70.1,41.48,12,7,71.9
78.2,63.2,61.8,3.63,13,5,51.1
